Food_code,Seq_num,Additional_food_description,Start_date,End_date
11111000,1,3.5% or 3.8% fat milk,2017-01-01,2018-12-31
11111000,2,leche fresca,2017-01-01,2018-12-31
11111170,3,nonfat milk,2017-01-01,2018-12-31
11111170,4,0.5% or less fat,2017-01-01,2018-12-31
11111170,5,Skim Plus,2017-01-01,2018-12-31
11111170,6,Skim Delux Calcium,2017-01-01,2018-12-31
11112110,1,Hi-Protein milk,2017-01-01,2018-12-31
11112110,2,fortified milk,2017-01-01,2018-12-31
11112110,3,1.5% fat milk,2017-01-01,2018-12-31
11112130,1,1.5% fat acidophilus milk,2017-01-01,2018-12-31
11113000,2,nonfat milk,2017-01-01,2018-12-31
11113000,3,0.5% or less fat,2017-01-01,2018-12-31
11114300,1,Lactaid,2017-01-01,2018-12-31
11114300,2,"Lactaid, NS as to fat content",2017-01-01,2018-12-31
11114300,4,lactose reduced,2017-01-01,2018-12-31
11114320,1,Lactaid,2017-01-01,2018-12-31
11114320,3,nonfat milk,2017-01-01,2018-12-31
11114320,4,lactose reduced,2017-01-01,2018-12-31
11114330,1,Lactaid,2017-01-01,2018-12-31
11114330,3,lactose reduced,2017-01-01,2018-12-31
11114350,1,Lactaid whole milk,2017-01-01,2018-12-31
11114350,2,lactose reduced,2017-01-01,2018-12-31
11115000,3,nonfat buttermilk,2017-01-01,2018-12-31
11115100,2,"buttermilk, NS as to fat",2017-01-01,2018-12-31
11115200,1,"2% fat, made with nonfat milk solids",2017-01-01,2018-12-31
11115400,1,fermented milk drink,2017-01-01,2018-12-31
11115400,2,plain,2017-01-01,2018-12-31
11115400,3,all flavors,2017-01-01,2018-12-31
11121300,1,nonfat milk,2017-01-01,2018-12-31
11212050,1,nonfat milk,2017-01-01,2018-12-31
11320000,1,Edensoy,2017-01-01,2018-12-31
11320000,2,vanilla flavored,2017-01-01,2018-12-31
11320000,3,Silk,2017-01-01,2018-12-31
11320000,4,West Soy,2017-01-01,2018-12-31
11320000,5,Soymilk,2017-01-01,2018-12-31
11320000,6,NS as to type,2017-01-01,2018-12-31
11320000,7,Vitasoy,2017-01-01,2018-12-31
11320100,1,vanilla flavored,2017-01-01,2018-12-31
11320100,2,Silk,2017-01-01,2018-12-31
11320100,3,Vitasoy,2017-01-01,2018-12-31
11320100,4,West Soy,2017-01-01,2018-12-31
11320100,5,Soymilk,2017-01-01,2018-12-31
11320200,1,vanilla flavored,2017-01-01,2018-12-31
11320200,2,West Soy,2017-01-01,2018-12-31
11320200,3,Soymilk,2017-01-01,2018-12-31
11321000,1,Silk,2017-01-01,2018-12-31
11321000,2,Belsoy,2017-01-01,2018-12-31
11321000,3,Soymilk,2017-01-01,2018-12-31
11321100,1,Silk,2017-01-01,2018-12-31
11321100,2,Vitasoy,2017-01-01,2018-12-31
11321100,3,Soymilk,2017-01-01,2018-12-31
11321200,1,Soymilk,2017-01-01,2018-12-31
11350000,3,vanilla flavored,2017-01-01,2018-12-31
11350000,5,NS as to sweetened,2017-01-01,2018-12-31
11350000,6,cashew,2017-01-01,2018-12-31
11350010,4,NS as to sweetened,2017-01-01,2018-12-31
11350010,5,cashew,2017-01-01,2018-12-31
11350020,1,unsweetened vanilla,2017-01-01,2018-12-31
11350020,5,flavors other than chocolate,2017-01-01,2018-12-31
11350020,6,cashew,2017-01-01,2018-12-31
11350030,1,Blue Diamond Almond Breeze,2017-01-01,2018-12-31
11350030,2,Silk PureAlmond,2017-01-01,2018-12-31
11350030,3,Almond Dream,2017-01-01,2018-12-31
11360000,1,Rice Dream beverage,2017-01-01,2018-12-31
11370000,1,Silk PureCoconut beverage,2017-01-01,2018-12-31
11370000,2,So Delicious,2017-01-01,2018-12-31
11411200,1,1% fat,2017-01-01,2018-12-31
11411200,2,2% fat,2017-01-01,2018-12-31
11411200,3,99% fat free,2017-01-01,2018-12-31
11411200,4,light,2017-01-01,2018-12-31
11411300,1,0% fat,2017-01-01,2018-12-31
11411300,2,fat free,2017-01-01,2018-12-31
11411300,3,light,2017-01-01,2018-12-31
11411300,4,"light, NFS",2017-01-01,2018-12-31
11411410,1,2% fat,2017-01-01,2018-12-31
11411410,2,1% fat,2017-01-01,2018-12-31
11411410,3,99% fat free,2017-01-01,2018-12-31
11411410,4,light,2017-01-01,2018-12-31
11411420,1,0% fat,2017-01-01,2018-12-31
11411420,2,fat free,2017-01-01,2018-12-31
11411420,3,light,2017-01-01,2018-12-31
11411420,4,"light, NFS",2017-01-01,2018-12-31
11432000,8,Go-Gurt Portable Yogurt tube,2017-01-01,2018-12-31
11432000,10,1% fat,2017-01-01,2018-12-31
11432000,11,2% fat,2017-01-01,2018-12-31
11432000,12,99% fat free,2017-01-01,2018-12-31
11432000,13,light,2017-01-01,2018-12-31
11433000,1,0% fat,2017-01-01,2018-12-31
11433000,2,fat free,2017-01-01,2018-12-31
11433000,3,light,2017-01-01,2018-12-31
11433000,4,"light, NFS",2017-01-01,2018-12-31
11434010,1,2% fat,2017-01-01,2018-12-31
11434010,2,1% fat,2017-01-01,2018-12-31
11434010,3,99% fat free,2017-01-01,2018-12-31
11434010,4,light,2017-01-01,2018-12-31
11434010,5,Chobani Kids Greek Yogurt Tubes,2017-01-01,2018-12-31
11434020,1,0% fat,2017-01-01,2018-12-31
11434020,2,fat free,2017-01-01,2018-12-31
11434020,3,light,2017-01-01,2018-12-31
11434020,4,"light, NFS",2017-01-01,2018-12-31
11434200,1,1% fat,2017-01-01,2018-12-31
11434200,2,2% fat,2017-01-01,2018-12-31
11434200,3,99% fat free,2017-01-01,2018-12-31
11434200,4,light,2017-01-01,2018-12-31
11434200,5,Go-Gurt Portable Yogurt tube,2017-01-01,2018-12-31
11434300,1,0% fat,2017-01-01,2018-12-31
11434300,2,fat free,2017-01-01,2018-12-31
11434300,3,light,2017-01-01,2018-12-31
11434300,4,"light, NFS",2017-01-01,2018-12-31
