Food_code,Main_food_description,WWEIA_Category_number,WWEIA_Category_description,Start_date,End_date
11000000,"Milk, human",9602,Human milk,2017-01-01,2018-12-31
11100000,"Milk, NFS",1004,"Milk, reduced fat",2017-01-01,2018-12-31
11111000,"Milk, whole",1002,"Milk, whole",2017-01-01,2018-12-31
11111100,"Milk, low sodium, whole",1002,"Milk, whole",2017-01-01,2018-12-31
11111150,"Milk, calcium fortified, whole",1002,"Milk, whole",2017-01-01,2018-12-31
11111160,"Milk, calcium fortified, low fat (1%)",1006,"Milk, lowfat",2017-01-01,2018-12-31
11111170,"Milk, calcium fortified, fat free (skim)",1008,"Milk, nonfat",2017-01-01,2018-12-31
11112110,"Milk, reduced fat (2%)",1004,"Milk, reduced fat",2017-01-01,2018-12-31
11112120,"Milk, acidophilus, low fat (1%)",1006,"Milk, lowfat",2017-01-01,2018-12-31
11112130,"Milk, acidophilus, reduced fat (2%)",1004,"Milk, reduced fat",2017-01-01,2018-12-31
11112210,"Milk, low fat (1%)",1006,"Milk, lowfat",2017-01-01,2018-12-31
11113000,"Milk, fat free (skim)",1008,"Milk, nonfat",2017-01-01,2018-12-31
11114300,"Milk, lactose free, low fat (1%)",1006,"Milk, lowfat",2017-01-01,2018-12-31
11114320,"Milk, lactose free, fat free (skim)",1008,"Milk, nonfat",2017-01-01,2018-12-31
11114330,"Milk, lactose free, reduced fat (2%)",1004,"Milk, reduced fat",2017-01-01,2018-12-31
11114350,"Milk, lactose free, whole",1002,"Milk, whole",2017-01-01,2018-12-31
11115000,"Buttermilk, fat free (skim)",1008,"Milk, nonfat",2017-01-01,2018-12-31
11115100,"Buttermilk, low fat (1%)",1006,"Milk, lowfat",2017-01-01,2018-12-31
11115200,"Buttermilk, reduced fat (2%)",1004,"Milk, reduced fat",2017-01-01,2018-12-31
11115300,"Buttermilk, whole",1002,"Milk, whole",2017-01-01,2018-12-31
11115400,"Kefir, NS as to fat content",1006,"Milk, lowfat",2017-01-01,2018-12-31
11116000,"Goat's milk, whole",1002,"Milk, whole",2017-01-01,2018-12-31
11120000,"Milk, dry, reconstituted, NS as to fat content",1008,"Milk, nonfat",2017-01-01,2018-12-31
11121100,"Milk, dry, reconstituted, whole",1002,"Milk, whole",2017-01-01,2018-12-31
11121210,"Milk, dry, reconstituted, low fat (1%)",1006,"Milk, lowfat",2017-01-01,2018-12-31
11121300,"Milk, dry, reconstituted, fat free (skim)",1008,"Milk, nonfat",2017-01-01,2018-12-31
11210050,"Milk, evaporated, NS as to fat content",1002,"Milk, whole",2017-01-01,2018-12-31
11211050,"Milk, evaporated, whole",1002,"Milk, whole",2017-01-01,2018-12-31
11211400,"Milk, evaporated, reduced fat (2%)",1004,"Milk, reduced fat",2017-01-01,2018-12-31
11212050,"Milk, evaporated, fat free (skim)",1008,"Milk, nonfat",2017-01-01,2018-12-31
11220000,"Milk, condensed, sweetened",1202,"Flavored milk, whole",2017-01-01,2018-12-31
11300100,"Non-dairy milk, NFS",1404,Milk substitutes,2017-01-01,2018-12-31
11320000,Soy milk,1404,Milk substitutes,2017-01-01,2018-12-31
11320100,"Soy milk, light",1404,Milk substitutes,2017-01-01,2018-12-31
11320200,"Soy milk, nonfat",1404,Milk substitutes,2017-01-01,2018-12-31
11321000,"Soy milk, chocolate",1404,Milk substitutes,2017-01-01,2018-12-31
11321100,"Soy milk, light, chocolate",1404,Milk substitutes,2017-01-01,2018-12-31
11321200,"Soy milk, nonfat, chocolate",1404,Milk substitutes,2017-01-01,2018-12-31
11350000,"Almond milk, sweetened",1404,Milk substitutes,2017-01-01,2018-12-31
11350010,"Almond milk, sweetened, chocolate",1404,Milk substitutes,2017-01-01,2018-12-31
11350020,"Almond milk, unsweetened",1404,Milk substitutes,2017-01-01,2018-12-31
11350030,"Almond milk, unsweetened, chocolate",1404,Milk substitutes,2017-01-01,2018-12-31
11360000,Rice milk,1404,Milk substitutes,2017-01-01,2018-12-31
11370000,Coconut milk,1404,Milk substitutes,2017-01-01,2018-12-31
11400000,"Yogurt, NFS",1820,"Yogurt, regular",2017-01-01,2018-12-31
11400010,"Yogurt, Greek, NS as to type of milk or flavor",1822,"Yogurt, Greek",2017-01-01,2018-12-31
11410000,"Yogurt, NS as to type of milk or flavor",1820,"Yogurt, regular",2017-01-01,2018-12-31
11411010,"Yogurt, NS as to type of milk, plain",1820,"Yogurt, regular",2017-01-01,2018-12-31
11411100,"Yogurt, whole milk, plain",1820,"Yogurt, regular",2017-01-01,2018-12-31
