ec_code,ec_description
14650160,Alfredo sauce
14650165,Alfredo sauce with added vegetables
14650170,Alfredo sauce with meat
14650175,Alfredo sauce with meat and added vegetables
14650180,Alfredo sauce with poultry
14650185,Alfredo sauce with poultry and added vegetables
14650190,Alfredo sauce with seafood
14650195,Alfredo sauce with seafood and added vegetables
75100800,"Asparagus, raw"
63105010,"Avocado, raw"
21103110,"Beef steak, breaded or floured, baked or fried, NS as to fat eaten"
21101000,"Beef steak, NS as to cooking method, NS as to fat eaten"
27116200,Beef with barbecue sauce
89901004,"Beef, for use with vegetables"
72101100,"Beet greens, raw"
75102500,"Beets, raw"
41102170,Black beans with meat
41102080,"Black beans, from canned, no added fat"
27560110,"Bologna sandwich, with spread"
99995000,Breading or batter as ingredient in food
99992230,Breakfast meat as ingredient in omelet
72203000,"Broccoli, chinese, raw"
99997220,"Broccoli, cooked, as ingredient"
72201100,"Broccoli, raw"
75102750,"Brussels sprouts, raw"
81100500,"Butter, NFS"
99997530,"Cabbage, cooked, as ingredient"
53105275,"Cake or cupcake, chocolate, devil's food or fudge, without icing or filling"
73102227,"Carrots, canned, cooked with oil"
99997310,"Carrots, cooked, as ingredient"
73101010,"Carrots, raw"
99997535,"Cauliflower, cooked, as ingredient"
75107000,"Cauliflower, raw"
75109000,"Celery, raw"
99991400,Cheese as ingredient in sandwiches
14650100,Cheese sauce
14410130,"Cheese, American, nonfat or fat free"
14010000,"Cheese, NFS"
63113030,Cherry pie filling
24122130,"Chicken breast, baked, broiled, or roasted, skin eaten, from raw"
24142301,"Chicken drumstick, baked, broiled, or roasted, skin not eaten, from raw"
24152231,"Chicken thigh, baked, broiled, or roasted, skin not eaten, from raw"
26109180,"Cod, dried, salted, salt removed in water"
75216141,"Corn, canned, cooked with oil"
27250040,Crab cake
54308000,"Crackers, milk"
63207010,"Cranberries, raw"
89901010,"Cream sauce, for use with vegetables"
81312100,Curry sauce
13210300,Custard
72113100,"Dandelion greens, raw"
99997800,Dark green vegetables as ingredient in omelet
26113160,"Eel, steamed or poached"
32130010,"Egg omelet or scrambled egg, made with oil"
32130070,"Egg omelet or scrambled egg, no added fat"
99997540,"Eggplant, cooked, as ingredient"
75111200,"Eggplant, raw"
99992610,"Fish fillet, fried as ingredient in sandwiches"
25210210,"Frankfurter or hot dog, beef"
