upc_code,upc_description,aisle,ec_code,ec_description,dist
91803689874,Red Onion,vegetables,51121110,"Bread, onion",0.08333333333333337
72578070750,Ginger Root,vegetables,11216,"Ginger root, raw",0.10416666666666674
66444813288,"Brussels Sprouts, 1 lb",vegetables,75102750,"Brussels sprouts, raw",0.10822510822510834
69110795444,"Blueberries, 6 oz",fruit,63203600,"Blueberries, frozen",0.10939112487100111
66293651745,Broccoli,vegetables,72201100,"Broccoli, raw",0.1282051282051282
73456003079,"Blackberries, 6 oz",fruit,9042,"Blackberries, raw",0.1328976034858388
91721772277,"Strawberries, 1 lb",fruit,9316,"Strawberries, raw",0.1328976034858388
69110795444,"Blueberries, 6 oz",fruit,9050,"Blueberries, raw",0.14093137254901966
22264521268,Garlic,vegetables,75111500,"Garlic, raw",0.1515151515151516
96059902586,"Blueberries, 1 Pint",fruit,62105000,"Blueberries, dried",0.16179337231968816
43345897254,Cantaloupe Melon,fruit,64202010,Cantaloupe nectar,0.1665723981900452
22264521268,Garlic,vegetables,81301000,Garlic sauce,0.16666666666666674
80105187075,Lemon,fruit,61113010,"Lemon, raw",0.16666666666666674
96059902586,"Blueberries, 1 Pint",fruit,9050,"Blueberries, raw",0.16776315789473695
69110795444,"Blueberries, 6 oz",fruit,62105000,"Blueberries, dried",0.17102396514161222
91721772277,"Strawberries, 1 lb",fruit,63223110,"Strawberries, canned",0.17407407407407405
91721772277,"Strawberries, 1 lb",fruit,63223610,"Strawberries, frozen",0.17407407407407405
96059902586,"Blueberries, 1 Pint",fruit,63203600,"Blueberries, frozen",0.17543859649122806
46365901307,Lime,fruit,61116010,"Lime, raw",0.18518518518518512
66293651745,Broccoli,vegetables,11096,"Broccoli raab, raw",0.18518518518518512
22264521268,Garlic,vegetables,75217400,"Garlic, cooked",0.19047619047619047
91803689874,Red Onion,vegetables,51121120,"Bread, onion, toasted",0.19047619047619047
43345897254,Cantaloupe Melon,fruit,63109010,"Cantaloupe, raw, melon, NFS, muskmelon",0.19298245614035092
46365901307,Lime,fruit,9159,"Limes, raw",0.20000000000000007
96041947986,"Asparagus, 1 Bunch",vegetables,75100800,"Asparagus, raw",0.20105820105820116
73456003079,"Blackberries, 6 oz",fruit,9048,"Blackberries, frozen, unsweetened",0.2095464448405625
66293651745,Broccoli,vegetables,72203000,"Broccoli, chinese, raw",0.21212121212121215
72401114680,"Wonderful Pistachios, Roasted and Salted, 16 Ounce Bag",nuts and seeds,27351030,"Stewed codfish, Puerto Rican style, Bacalao guisado",0.21289488017429203
48679739474,Russet Potato,vegetables,73401000,"Sweet potato, NFS",0.21417797888386125
80105187075,Lemon,fruit,9156,"Lemon peel, raw",0.22222222222222232
63408357468,"Cucumber, One Count",vegetables,89902010,"Cucumber, for use on a sandwich",0.22484103998135763
48679739474,Russet Potato,vegetables,73410210,Sweet potato chips,0.225071225071225
64660325165,"Himalayan Pink Salt Grass-Fed Ghee Butter by 4th & Heart, 9 Ounce, Keto, Pasture Raised, Non-GMO, Lactose Free, Certified Paleo",butter,58109140,"Pizza, cheese and vegetables, gluten-free thin crust, original, medium, hand-tossed, flatbread, or NS as to type of crust",0.2279527559055119
66444813288,"Brussels Sprouts, 1 lb",vegetables,75209021,"Brussels sprouts, fresh, cooked, fat added",0.22799422799422808
80105187075,Lemon,fruit,9152,"Lemon juice, raw",0.22916666666666674
73456003079,"Blackberries, 6 oz",fruit,63115200,"Cherries, frozen",0.23379629629629628
63408357468,"Cucumber, One Count",vegetables,75111000,"Cucumber, raw",0.2348178137651823
78985501471,Honeycrisp Apples,fruit,91302010,Honey,0.23529411764705888
56014054208,"Lundberg Organic Thin Stackers, Lightly Salted, 6oz, Gluten-Free, Vegan, USDA Certified Organic, Non-GMO Verified, Kosher, Whole Grain Brown Rice",rice cakes,83204500,"Honey mustard dressing, light, Newman's Own Lighten Up, diet, low calorie, low fat, reduced calorie, or reduced fat dressing, Honey dijon dressing",0.23616565820155822
64660325165,"Himalayan Pink Salt Grass-Fed Ghee Butter by 4th & Heart, 9 Ounce, Keto, Pasture Raised, Non-GMO, Lactose Free, Certified Paleo",butter,58109050,"Pizza, cheese and vegetables, whole wheat thin crust, original, medium, hand-tossed, flatbread, or NS as to type of crust",0.23626524848015196
91803689874,Red Onion,vegetables,51121110,"Bread, onion, pre-sliced or not",0.23655913978494636
