upc_code,upc_description,aisle,ec_code,ec_description,dist
91803689874,Red Onion,vegetables,51121110,"Bread, onion",3
22264521268,Garlic,vegetables,75111500,"Garlic, raw",5
46365901307,Lime,fruit,19300,Jellies,5
46365901307,Lime,fruit,61116010,"Lime, raw",5
46365901307,Lime,fruit,71980100,Poi,5
66293651745,Broccoli,vegetables,72201100,"Broccoli, raw",5
72578070750,Ginger Root,vegetables,11216,"Ginger root, raw",5
80105187075,Lemon,fruit,61113010,"Lemon, raw",5
80105187075,Lemon,fruit,16112,Miso,5
80105187075,Lemon,fruit,91703070,Rolo,5
22264521268,Garlic,vegetables,81202000,Lard,6
22264521268,Garlic,vegetables,81301000,Garlic sauce,6
22264521268,Garlic,vegetables,51156500,"Roll, garlic",6
22264521268,Garlic,vegetables,91703070,Rolo,6
66293651745,Broccoli,vegetables,91703070,Rolo,6
69110795444,"Blueberries, 6 oz",fruit,63203600,"Blueberries, frozen",6
66293651745,Broccoli,vegetables,51167000,Brioche,7
66293651745,Broccoli,vegetables,71980100,Poi,7
66444813288,"Brussels Sprouts, 1 lb",vegetables,75102750,"Brussels sprouts, raw",7
69110795444,"Blueberries, 6 oz",fruit,9050,"Blueberries, raw",7
73456003079,"Blackberries, 6 oz",fruit,9042,"Blackberries, raw",7
91721772277,"Strawberries, 1 lb",fruit,9316,"Strawberries, raw",7
91803689874,Red Onion,vegetables,91703070,Rolo,7
48679739474,Russet Potato,vegetables,18971,"Bread, potato",8
72578070750,Ginger Root,vegetables,93301290,Stinger,8
82657301871,Fuji Apple,fruit,53415120,"Fritter, apple",8
91803689874,Red Onion,vegetables,71980100,Poi,8
43345897254,Cantaloupe Melon,fruit,64202010,Cantaloupe nectar,9
48679739474,Russet Potato,vegetables,51136000,Bruschetta,9
67703551996,Red Mango,fruit,81202000,Lard,9
67703551996,Red Mango,fruit,18027,"Bread, egg",9
67703551996,Red Mango,fruit,52403000,"Bread, nut",9
67703551996,Red Mango,fruit,51121110,"Bread, onion",9
67703551996,Red Mango,fruit,51804010,"Bread, soy",9
67703551996,Red Mango,fruit,62110100,Date,9
67703551996,Red Mango,fruit,1057,Eggnog,9
67703551996,Red Mango,fruit,16112,Miso,9
67703551996,Red Mango,fruit,91703070,Rolo,9
69110795444,"Blueberries, 6 oz",fruit,62105000,"Blueberries, dried",9
72578070750,Ginger Root,vegetables,91703070,Rolo,9
82657301871,Fuji Apple,fruit,41209000,Falafel,9
96059902586,"Blueberries, 1 Pint",fruit,62105000,"Blueberries, dried",9
96059902586,"Blueberries, 1 Pint",fruit,9050,"Blueberries, raw",9
14404237262,Organic Lemon,fruit,27450310,Lomi salmon,10
14404237262,Organic Lemon,fruit,4529,"Oil, almond",10
22374075100,Navel Orange,fruit,75440400,Pakora,10
35652824971,Gala Apples,fruit,41209000,Falafel,10
35652824971,Gala Apples,fruit,91407100,Guava paste,10
35652824971,Gala Apples,fruit,19300,Jellies,10
35652824971,Gala Apples,fruit,41304000,Wasabi peas,10
45870075878,Yellow Onion,vegetables,51121110,"Bread, onion",10
48679739474,Russet Potato,vegetables,51134000,"Bread, sweet potato",10
48679739474,Russet Potato,vegetables,53360000,"Pie, sweet potato",10
48679739474,Russet Potato,vegetables,73401000,"Sweet potato, NFS",10
74645586082,Organic Garlic,vegetables,51156500,"Roll, garlic",10
82657301871,Fuji Apple,fruit,62110100,Date,10
82657301871,Fuji Apple,fruit,63119010,"Fig, raw",10
82657301871,Fuji Apple,fruit,13140900,Fudgesicle,10
82657301871,Fuji Apple,fruit,54319500,Rice paper,10
82657301871,Fuji Apple,fruit,18354,"Strudel, apple",10
82657301871,Fuji Apple,fruit,13252590,Trifle,10
91721772277,"Strawberries, 1 lb",fruit,63223110,"Strawberries, canned",10
91721772277,"Strawberries, 1 lb",fruit,63223610,"Strawberries, frozen",10
96041947986,"Asparagus, 1 Bunch",vegetables,75100800,"Asparagus, raw",10
96059902586,"Blueberries, 1 Pint",fruit,63203600,"Blueberries, frozen",10
96165588989,"Red Raspberries, 6 oz",fruit,63219610,"Raspberries, frozen",10
14404237262,Organic Lemon,fruit,91703070,Rolo,11
14404237262,Organic Lemon,fruit,13252590,Trifle,11
22374075100,Navel Orange,fruit,91302010,Honey,11
22374075100,Navel Orange,fruit,72119190,"Kale, raw",11
22374075100,Navel Orange,fruit,93301010,Alexander,11
22374075100,Navel Orange,fruit,41209000,Falafel,11
22374075100,Navel Orange,fruit,19303,"Marmalade, orange",11
22374075100,Navel Orange,fruit,32401000,Meringues,11
22374075100,Navel Orange,fruit,16113,Natto,11
22374075100,Navel Orange,fruit,52105100,Scone,11
22374075100,Navel Orange,fruit,19097,"Sherbet, orange",11
22374075100,Navel Orange,fruit,27250150,Tuna loaf,11
45870075878,Yellow Onion,vegetables,19300,Jellies,11
45870075878,Yellow Onion,vegetables,71980100,Poi,11
73456003079,"Blackberries, 6 oz",fruit,63203600,"Blueberries, frozen",11
74645586082,Organic Garlic,vegetables,93301310,Mai Tai,11
