id1,code.1,description.1,id2,code.2,description.2,Weight
274,69110795444,"Blueberries, 6 oz",1135,63203600,"Blueberries, frozen",0.9343653250773993
501,66293651745,Broccoli,24,72201100,"Broccoli, raw",0.9230769230769231
273,73456003079,"Blackberries, 6 oz",1114,9042,"Blackberries, raw",0.9202614379084967
265,91721772277,"Strawberries, 1 lb",8652,9316,"Strawberries, raw",0.9202614379084967
274,69110795444,"Blueberries, 6 oz",1137,9050,"Blueberries, raw",0.9154411764705881
490,22264521268,Garlic,64,75111500,"Garlic, raw",0.9090909090909091
503,72578070750,Ginger Root,4623,11216,"Ginger root, raw",0.9068181818181817
280,96059902586,"Blueberries, 1 Pint",1133,62105000,"Blueberries, dried",0.902923976608187
279,43345897254,Cantaloupe Melon,1688,64202010,Cantaloupe nectar,0.9000565610859727
490,22264521268,Garlic,4597,81301000,Garlic sauce,0.8999999999999999
266,80105187075,Lemon,5440,61113010,"Lemon, raw",0.8999999999999999
280,96059902586,"Blueberries, 1 Pint",1137,9050,"Blueberries, raw",0.8993421052631578
274,69110795444,"Blueberries, 6 oz",1133,62105000,"Blueberries, dried",0.8973856209150326
265,91721772277,"Strawberries, 1 lb",8648,63223110,"Strawberries, canned",0.8955555555555555
265,91721772277,"Strawberries, 1 lb",8650,63223610,"Strawberries, frozen",0.8955555555555555
280,96059902586,"Blueberries, 1 Pint",1135,63203600,"Blueberries, frozen",0.8947368421052629
267,46365901307,Lime,5513,61116010,"Lime, raw",0.8888888888888888
501,66293651745,Broccoli,1378,11096,"Broccoli raab, raw",0.8888888888888888
490,22264521268,Garlic,4598,75217400,"Garlic, cooked",0.8857142857142857
491,66444813288,"Brussels Sprouts, 1 lb",25,75102750,"Brussels sprouts, raw",0.8811560988031574
273,73456003079,"Blackberries, 6 oz",1113,9048,"Blackberries, frozen, unsweetened",0.880154486036839
267,46365901307,Lime,5514,9159,"Limes, raw",0.88
496,96041947986,"Asparagus, 1 Bunch",9,75100800,"Asparagus, raw",0.8793650793650793
501,66293651745,Broccoli,22,72203000,"Broccoli, chinese, raw",0.8727272727272727
266,80105187075,Lemon,5437,9156,"Lemon peel, raw",0.8666666666666665
279,43345897254,Cantaloupe Melon,1689,63109010,"Cantaloupe, raw, melon, NFS, muskmelon",0.8664473684210525
266,80105187075,Lemon,5436,9152,"Lemon juice, raw",0.8624999999999999
483,63408357468,"Cucumber, One Count",3635,75111000,"Cucumber, raw",0.8591093117408907
276,78985501471,Honeycrisp Apples,71,91302010,Honey,0.8588235294117647
273,73456003079,"Blackberries, 6 oz",1116,64104600,"Blackberry juice, 100%",0.8542568542568543
267,46365901307,Lime,5511,9160,"Lime juice, raw",0.8533333333333333
457,18729034508,"Chicken of the Sea, Pink Salmon, 5 Oz",2433,24198500,Chicken feet,0.8481981981981982
483,63408357468,"Cucumber, One Count",3634,89902010,"Cucumber, for use on a sandwich",0.8466468590831918
457,18729034508,"Chicken of the Sea, Pink Salmon, 5 Oz",2508,27243000,"Chicken or turkey and rice, no sauce",0.8420240240240239
496,96041947986,"Asparagus, 1 Bunch",275,75202034,"Asparagus, canned, cooked with oil",0.8415686274509803
496,96041947986,"Asparagus, 1 Bunch",285,75202031,"Asparagus, frozen, cooked with oil",0.8415686274509803
457,18729034508,"Chicken of the Sea, Pink Salmon, 5 Oz",2797,24198340,"Chicken, tail",0.8395010395010395
287,41882642038,Gold Pineapple,4634,93301340,Golden Cadillac,0.8361904761904762
503,72578070750,Ginger Root,4622,75503085,"Ginger root, pickled, gari, sushi ginger",0.8318181818181818
